;;;;;;;;
Date;;Visitor/Neutral;PTS;Home/Neutral;PTS;;Notes;Stanley's Predition
Sun Mar 22 2015;;Washington Wizards;;Sacramento Kings;;;;0
Sun Mar 22 2015;;New York Knicks;;Toronto Raptors;;;;0
Mon Mar 23 2015;;Boston Celtics;;Brooklyn Nets;;;;0
Mon Mar 23 2015;;Charlotte Hornets;;Chicago Bulls;;;;0
Mon Mar 23 2015;;Washington Wizards;;Golden State Warriors;;;;1
Mon Mar 23 2015;;Houston Rockets;;Indiana Pacers;;;;1
Mon Mar 23 2015;;Memphis Grizzlies;;New York Knicks;;;;0
Mon Mar 23 2015;;Minnesota Timberwolves;;Utah Jazz;;;;0
Tue Mar 24 2015;;San Antonio Spurs;;Dallas Mavericks;;;;1
Tue Mar 24 2015;;Toronto Raptors;;Detroit Pistons;;;;0
Tue Mar 24 2015;;Miami Heat;;Milwaukee Bucks;;;;0
Tue Mar 24 2015;;Los Angeles Lakers;;Oklahoma City Thunder;;;;1
Tue Mar 24 2015;;Golden State Warriors;;Portland Trail Blazers;;;;0
Tue Mar 24 2015;;Philadelphia 76ers;;Sacramento Kings;;;;0
Wed Mar 25 2015;;Miami Heat;;Boston Celtics;;;;1
Wed Mar 25 2015;;Brooklyn Nets;;Charlotte Hornets;;;;0
Wed Mar 25 2015;;Philadelphia 76ers;;Denver Nuggets;;;;0
Wed Mar 25 2015;;Cleveland Cavaliers;;Memphis Grizzlies;;;;1
Wed Mar 25 2015;;Los Angeles Lakers;;Minnesota Timberwolves;;;;1
Wed Mar 25 2015;;Houston Rockets;;New Orleans Pelicans;;;;1
Wed Mar 25 2015;;Los Angeles Clippers;;New York Knicks;;;;1
Wed Mar 25 2015;;Atlanta Hawks;;Orlando Magic;;;;0
Wed Mar 25 2015;;Sacramento Kings;;Phoenix Suns;;;;0
Wed Mar 25 2015;;Oklahoma City Thunder;;San Antonio Spurs;;;;0
Wed Mar 25 2015;;Chicago Bulls;;Toronto Raptors;;;;1
Wed Mar 25 2015;;Portland Trail Blazers;;Utah Jazz;;;;0
Wed Mar 25 2015;;Indiana Pacers;;Washington Wizards;;;;0
Thu Mar 26 2015;;Indiana Pacers;;Milwaukee Bucks;;;;0
Fri Mar 27 2015;;Miami Heat;;Atlanta Hawks;;;;1
Fri Mar 27 2015;;Cleveland Cavaliers;;Brooklyn Nets;;;;0
Fri Mar 27 2015;;Utah Jazz;;Denver Nuggets;;;;0
Fri Mar 27 2015;;Minnesota Timberwolves;;Houston Rockets;;;;0
Fri Mar 27 2015;;Golden State Warriors;;Memphis Grizzlies;;;;0
Fri Mar 27 2015;;Sacramento Kings;;New Orleans Pelicans;;;;1
Fri Mar 27 2015;;Boston Celtics;;New York Knicks;;;;0
Fri Mar 27 2015;;Detroit Pistons;;Orlando Magic;;;;1
Fri Mar 27 2015;;Los Angeles Clippers;;Philadelphia 76ers;;;;1
Fri Mar 27 2015;;Portland Trail Blazers;;Phoenix Suns;;;;0
Fri Mar 27 2015;;Dallas Mavericks;;San Antonio Spurs;;;;0
Fri Mar 27 2015;;Los Angeles Lakers;;Toronto Raptors;;;;0
Fri Mar 27 2015;;Charlotte Hornets;;Washington Wizards;;;;0
Sat Mar 28 2015;;New York Knicks;;Chicago Bulls;;;;1
Sat Mar 28 2015;;Atlanta Hawks;;Charlotte Hornets;;;;1
Sat Mar 28 2015;;Golden State Warriors;;Milwaukee Bucks;;;;0
Sat Mar 28 2015;;Denver Nuggets;;Portland Trail Blazers;;;;1
Sat Mar 28 2015;;Oklahoma City Thunder;;Utah Jazz;;;;1
Sun Mar 29 2015;;Los Angeles Clippers;;Boston Celtics;;;;0
Sun Mar 29 2015;;Los Angeles Lakers;;Brooklyn Nets;;;;0
Sun Mar 29 2015;;Philadelphia 76ers;;Cleveland Cavaliers;;;;1
Sun Mar 29 2015;;Dallas Mavericks;;Indiana Pacers;;;;0
Sun Mar 29 2015;;Detroit Pistons;;Miami Heat;;;;0
Sun Mar 29 2015;;Minnesota Timberwolves;;New Orleans Pelicans;;;;0
Sun Mar 29 2015;;Oklahoma City Thunder;;Phoenix Suns;;;;0
Sun Mar 29 2015;;Memphis Grizzlies;;San Antonio Spurs;;;;0
Sun Mar 29 2015;;Houston Rockets;;Washington Wizards;;;;0
Mon Mar 30 2015;;Milwaukee Bucks;;Atlanta Hawks;;;;1
Mon Mar 30 2015;;Boston Celtics;;Charlotte Hornets;;;;0
Mon Mar 30 2015;;Sacramento Kings;;Memphis Grizzlies;;;;1
Mon Mar 30 2015;;Utah Jazz;;Minnesota Timberwolves;;;;1
Mon Mar 30 2015;;Los Angeles Lakers;;Philadelphia 76ers;;;;0
Mon Mar 30 2015;;Phoenix Suns;;Portland Trail Blazers;;;;0
Mon Mar 30 2015;;Houston Rockets;;Toronto Raptors;;;;0
Tue Mar 31 2015;;Indiana Pacers;;Brooklyn Nets;;;;1
Tue Mar 31 2015;;Atlanta Hawks;;Detroit Pistons;;;;1
Tue Mar 31 2015;;Golden State Warriors;;Los Angeles Clippers;;;;1
Tue Mar 31 2015;;San Antonio Spurs;;Miami Heat;;;;0
Wed Apr 1 2015;;Indiana Pacers;;Boston Celtics;;;;0
Wed Apr 1 2015;;Detroit Pistons;;Charlotte Hornets;;;;0
Wed Apr 1 2015;;Sacramento Kings;;Houston Rockets;;;;1
Wed Apr 1 2015;;New Orleans Pelicans;;Los Angeles Lakers;;;;1
Wed Apr 1 2015;;Chicago Bulls;;Milwaukee Bucks;;;;1
Wed Apr 1 2015;;Toronto Raptors;;Minnesota Timberwolves;;;;1
Wed Apr 1 2015;;Brooklyn Nets;;New York Knicks;;;;1
Wed Apr 1 2015;;Dallas Mavericks;;Oklahoma City Thunder;;;;1
Wed Apr 1 2015;;San Antonio Spurs;;Orlando Magic;;;;0
Wed Apr 1 2015;;Los Angeles Clippers;;Portland Trail Blazers;;;;0
Wed Apr 1 2015;;Denver Nuggets;;Utah Jazz;;;;0
Wed Apr 1 2015;;Philadelphia 76ers;;Washington Wizards;;;;0
Thu Apr 2 2015;;Miami Heat;;Cleveland Cavaliers;;;;0
Thu Apr 2 2015;;Houston Rockets;;Dallas Mavericks;;;;0
Thu Apr 2 2015;;Phoenix Suns;;Golden State Warriors;;;;0
Fri Apr 3 2015;;Milwaukee Bucks;;Boston Celtics;;;;1
Fri Apr 3 2015;;Toronto Raptors;;Brooklyn Nets;;;;0
Fri Apr 3 2015;;Detroit Pistons;;Chicago Bulls;;;;0
Fri Apr 3 2015;;Charlotte Hornets;;Indiana Pacers;;;;1
Fri Apr 3 2015;;Portland Trail Blazers;;Los Angeles Lakers;;;;0
Fri Apr 3 2015;;Oklahoma City Thunder;;Memphis Grizzlies;;;;1
Fri Apr 3 2015;;Orlando Magic;;Minnesota Timberwolves;;;;0
Fri Apr 3 2015;;New Orleans Pelicans;;Sacramento Kings;;;;0
Fri Apr 3 2015;;Denver Nuggets;;San Antonio Spurs;;;;0
Fri Apr 3 2015;;New York Knicks;;Washington Wizards;;;;0
Sat Apr 4 2015;;Brooklyn Nets;;Atlanta Hawks;;;;0
Sat Apr 4 2015;;Philadelphia 76ers;;Charlotte Hornets;;;;0
Sat Apr 4 2015;;Golden State Warriors;;Dallas Mavericks;;;;1
Sat Apr 4 2015;;Los Angeles Clippers;;Denver Nuggets;;;;1
Sat Apr 4 2015;;Miami Heat;;Detroit Pistons;;;;0
Sat Apr 4 2015;;Washington Wizards;;Memphis Grizzlies;;;;0
Sat Apr 4 2015;;Orlando Magic;;Milwaukee Bucks;;;;0
Sat Apr 4 2015;;Utah Jazz;;Phoenix Suns;;;;0
Sat Apr 4 2015;;New Orleans Pelicans;;Portland Trail Blazers;;;;0
Sat Apr 4 2015;;Boston Celtics;;Toronto Raptors;;;;0
Sun Apr 5 2015;;Chicago Bulls;;Cleveland Cavaliers;;;;0
Sun Apr 5 2015;;Miami Heat;;Indiana Pacers;;;;1
Sun Apr 5 2015;;Los Angeles Clippers;;Los Angeles Lakers;;;;0
Sun Apr 5 2015;;Philadelphia 76ers;;New York Knicks;;;;1
Sun Apr 5 2015;;Houston Rockets;;Oklahoma City Thunder;;;;0
Sun Apr 5 2015;;Utah Jazz;;Sacramento Kings;;;;1
Sun Apr 5 2015;;Golden State Warriors;;San Antonio Spurs;;;;0
Tue Apr 7 2015;;Phoenix Suns;;Atlanta Hawks;;;;0
Tue Apr 7 2015;;Los Angeles Lakers;;Los Angeles Clippers;;;;0
Tue Apr 7 2015;;Charlotte Hornets;;Miami Heat;;;;1
Tue Apr 7 2015;;Golden State Warriors;;New Orleans Pelicans;;;;1
Tue Apr 7 2015;;San Antonio Spurs;;Oklahoma City Thunder;;;;0
Tue Apr 7 2015;;Minnesota Timberwolves;;Sacramento Kings;;;;1
Wed Apr 8 2015;;Atlanta Hawks;;Brooklyn Nets;;;;1
Wed Apr 8 2015;;Toronto Raptors;;Charlotte Hornets;;;;0
Wed Apr 8 2015;;Phoenix Suns;;Dallas Mavericks;;;;0
Wed Apr 8 2015;;Los Angeles Lakers;;Denver Nuggets;;;;1
Wed Apr 8 2015;;Boston Celtics;;Detroit Pistons;;;;0
Wed Apr 8 2015;;New Orleans Pelicans;;Memphis Grizzlies;;;;1
Wed Apr 8 2015;;Cleveland Cavaliers;;Milwaukee Bucks;;;;0
Wed Apr 8 2015;;Indiana Pacers;;New York Knicks;;;;1
Wed Apr 8 2015;;Chicago Bulls;;Orlando Magic;;;;1
Wed Apr 8 2015;;Washington Wizards;;Philadelphia 76ers;;;;0
Wed Apr 8 2015;;Minnesota Timberwolves;;Portland Trail Blazers;;;;0
Wed Apr 8 2015;;Houston Rockets;;San Antonio Spurs;;;;1
Wed Apr 8 2015;;Sacramento Kings;;Utah Jazz;;;;0
Thu Apr 9 2015;;Portland Trail Blazers;;Golden State Warriors;;;;1
Thu Apr 9 2015;;Chicago Bulls;;Miami Heat;;;;0
Fri Apr 10 2015;;Charlotte Hornets;;Atlanta Hawks;;;;1
Fri Apr 10 2015;;Washington Wizards;;Brooklyn Nets;;;;0
Fri Apr 10 2015;;Boston Celtics;;Cleveland Cavaliers;;;;1
Fri Apr 10 2015;;Dallas Mavericks;;Denver Nuggets;;;;0
Fri Apr 10 2015;;Indiana Pacers;;Detroit Pistons;;;;0
Fri Apr 10 2015;;San Antonio Spurs;;Houston Rockets;;;;0
Fri Apr 10 2015;;Minnesota Timberwolves;;Los Angeles Lakers;;;;0
Fri Apr 10 2015;;Phoenix Suns;;New Orleans Pelicans;;;;1
Fri Apr 10 2015;;Milwaukee Bucks;;New York Knicks;;;;0
Fri Apr 10 2015;;Sacramento Kings;;Oklahoma City Thunder;;;;1
Fri Apr 10 2015;;Toronto Raptors;;Orlando Magic;;;;1
Fri Apr 10 2015;;Memphis Grizzlies;;Utah Jazz;;;;0
Sat Apr 11 2015;;Philadelphia 76ers;;Chicago Bulls;;;;0
Sat Apr 11 2015;;Minnesota Timberwolves;;Golden State Warriors;;;;0
Sat Apr 11 2015;;Memphis Grizzlies;;Los Angeles Clippers;;;;1
Sat Apr 11 2015;;Toronto Raptors;;Miami Heat;;;;0
Sat Apr 11 2015;;New York Knicks;;Orlando Magic;;;;0
Sat Apr 11 2015;;Utah Jazz;;Portland Trail Blazers;;;;1
Sun Apr 12 2015;;Cleveland Cavaliers;;Boston Celtics;;;;0
Sun Apr 12 2015;;Sacramento Kings;;Denver Nuggets;;;;0
Sun Apr 12 2015;;Charlotte Hornets;;Detroit Pistons;;;;0
Sun Apr 12 2015;;New Orleans Pelicans;;Houston Rockets;;;;1
Sun Apr 12 2015;;Oklahoma City Thunder;;Indiana Pacers;;;;1
Sun Apr 12 2015;;Dallas Mavericks;;Los Angeles Lakers;;;;0
Sun Apr 12 2015;;Brooklyn Nets;;Milwaukee Bucks;;;;0
Sun Apr 12 2015;;Phoenix Suns;;San Antonio Spurs;;;;0
Sun Apr 12 2015;;Atlanta Hawks;;Washington Wizards;;;;0
Mon Apr 13 2015;;New York Knicks;;Atlanta Hawks;;;;1
Mon Apr 13 2015;;Chicago Bulls;;Brooklyn Nets;;;;1
Mon Apr 13 2015;;Houston Rockets;;Charlotte Hornets;;;;0
Mon Apr 13 2015;;Detroit Pistons;;Cleveland Cavaliers;;;;0
Mon Apr 13 2015;;Memphis Grizzlies;;Golden State Warriors;;;;0
Mon Apr 13 2015;;Denver Nuggets;;Los Angeles Clippers;;;;0
Mon Apr 13 2015;;Orlando Magic;;Miami Heat;;;;1
Mon Apr 13 2015;;New Orleans Pelicans;;Minnesota Timberwolves;;;;1
Mon Apr 13 2015;;Portland Trail Blazers;;Oklahoma City Thunder;;;;1
Mon Apr 13 2015;;Milwaukee Bucks;;Philadelphia 76ers;;;;0
Mon Apr 13 2015;;Los Angeles Lakers;;Sacramento Kings;;;;1
Mon Apr 13 2015;;Dallas Mavericks;;Utah Jazz;;;;1
Tue Apr 14 2015;;Toronto Raptors;;Boston Celtics;;;;1
Tue Apr 14 2015;;Washington Wizards;;Indiana Pacers;;;;1
Tue Apr 14 2015;;Los Angeles Clippers;;Phoenix Suns;;;;0
Wed Apr 15 2015;;Orlando Magic;;Brooklyn Nets;;;;0
Wed Apr 15 2015;;Atlanta Hawks;;Chicago Bulls;;;;0
Wed Apr 15 2015;;Washington Wizards;;Cleveland Cavaliers;;;;0
Wed Apr 15 2015;;Portland Trail Blazers;;Dallas Mavericks;;;;0
Wed Apr 15 2015;;Denver Nuggets;;Golden State Warriors;;;;0
Wed Apr 15 2015;;Utah Jazz;;Houston Rockets;;;;1
Wed Apr 15 2015;;Sacramento Kings;;Los Angeles Lakers;;;;0
Wed Apr 15 2015;;Indiana Pacers;;Memphis Grizzlies;;;;0
Wed Apr 15 2015;;Boston Celtics;;Milwaukee Bucks;;;;1
Wed Apr 15 2015;;Oklahoma City Thunder;;Minnesota Timberwolves;;;;1
Wed Apr 15 2015;;San Antonio Spurs;;New Orleans Pelicans;;;;0
Wed Apr 15 2015;;Detroit Pistons;;New York Knicks;;;;1
Wed Apr 15 2015;;Miami Heat;;Philadelphia 76ers;;;;0
Wed Apr 15 2015;;Charlotte Hornets;;Toronto Raptors;;;;
